,variable,value
0,Vir,pervertir
1,Vir,affadir
2,Vir,empuantir
3,Vir,infléchir
4,Vir,trahir
5,Vir,superfinir
6,Vir,débrutir
7,Vir,pressentir
8,Vir,attiédir
9,Vir,ébahir
10,Vir,raccourcir
11,Vir,écrouir
12,Vir,accomplir
13,Vir,repolir
14,Vir,gésir
15,Vir,enlaidir
16,Vir,tenir
17,Vir,blanchir
18,Vir,péritélévoir
19,Vir,barrir
20,Vir,endolorir
21,Vir,amerrir
22,Vir,interagir
23,Vir,mûrir
24,Vir,dépolir
25,Vir,éjouir
26,Vir,revenir
27,Vir,guérir
28,Vir,rétrécir
29,Vir,agrandir
30,Vir,subdivoir
31,Vir,dessaisir
32,Vir,assaillir
33,Vir,affolir
34,Vir,ragaillardir
35,Vir,rougir
36,Vir,ramollir
37,Vir,maintenir
38,Vir,réussir
39,Vir,redécouvrir
40,Vir,alourdir
41,Vir,réobtenir
42,Vir,envahir
43,Vir,dégrossir
44,Vir,refleurir
45,Vir,punir
46,Vir,recrépir
47,Vir,lotir
48,Vir,préétablir
49,Vir,réinvestir
50,Vir,tressaillir
51,Vir,partir
52,Vir,pétrir
53,Vir,revoir
54,Vir,appesantir
55,Vir,fournir
56,Vir,rabougrir
57,Vir,assainir
58,Vir,abasourdir
59,Vir,entrevoir
60,Vir,sertir
61,Vir,flétrir
62,Vir,adoucir
63,Vir,désobéir
64,Vir,fléchir
65,Vir,obtenir
66,Vir,dépérir
67,Vir,reconquérir
68,Vir,nantir
69,Vir,subvertir
70,Vir,comparoir
71,Vir,saurir
72,Vir,abroutir
73,Vir,assouvir
74,Vir,fouir
75,Vir,déglutir
76,Vir,mouvoir
77,Vir,concevoir
78,Vir,faiblir
79,Vir,jaillir
80,Vir,abâtardir
81,Vir,défraîchir
82,Vir,équarrir
83,Vir,couvrir
84,Vir,choir
85,Vir,ahurir
86,Vir,secourir
87,Vir,rondir
88,Vir,resurgir
89,Vir,munir
90,Vir,appauvrir
91,Vir,survenir
92,Vir,ressaisir
93,Vir,démunir
94,Vir,pourrir
95,Vir,saillir
96,Vir,retenir
97,Vir,asseoir
98,Vir,définir
99,Vir,gravir
100,Vir,mugir
101,Vir,intervenir
102,Vir,raplatir
103,Vir,bêtir
104,Vir,rétroagir
105,Vir,rélargir
106,Vir,rouir
107,Vir,ensevelir
108,Vir,retentir
109,Vir,surseoir
110,Vir,languir
111,Vir,raboutir
112,Vir,détenir
113,Vir,refroidir
114,Vir,rendormir
115,Vir,déguerpir
116,Vir,ternir
117,Vir,engourdir
118,Vir,abrutir
119,Vir,accueillir
120,Vir,nourrir
121,Vir,avilir
122,Vir,seoir
123,Vir,évanouir
124,Vir,enfouir
125,Vir,périr
126,Vir,amaigrir
127,Vir,tarir
128,Vir,décevoir
129,Vir,surgir
130,Vir,attendrir
131,Vir,durcir
132,Vir,verdir
133,Vir,éblouir
134,Vir,repartir
135,Vir,rejaillir
136,Vir,survêtir
137,Vir,blondir
138,Vir,serfouir
139,Vir,réjouir
140,Vir,dégarnir
141,Vir,promouvoir
142,Vir,convertir
143,Vir,recourir
144,Vir,s'abstenir
145,Vir,croupir
146,Vir,blottir
147,Vir,amollir
148,Vir,bâtir
149,Vir,vêtir
150,Vir,alanguir
151,Vir,franchir
152,Vir,rebondir
153,Vir,bleuir
154,Vir,renformir
155,Vir,chérir
156,Vir,démentir
157,Vir,reverdir
158,Vir,ébaubir
159,Vir,agir
160,Vir,recevoir
161,Vir,apercevoir
162,Vir,regarnir
163,Vir,démaigrir
164,Vir,rebouillir
165,Vir,aplatir
166,Vir,servir
167,Vir,vomir
168,Vir,ameublir
169,Vir,désépaissir
170,Vir,accourcir
171,Vir,ouvrir
172,Vir,enquérir
173,Vir,glapir
174,Vir,mourir
175,Vir,courir
176,Vir,rétablir
177,Vir,repentir
178,Vir,ennoblir
179,Vir,saisir
180,Vir,embellir
181,Vir,roidir
182,Vir,enorgueillir
183,Vir,assortir
184,Vir,circonvenir
185,Vir,bouillir
186,Vir,engloutir
187,Vir,invertir
188,Vir,avachir
189,Vir,réchampir
190,Vir,regaillardir
191,Vir,finir
192,Vir,ourdir
193,Vir,anoblir
194,Vir,désengourdir
195,Vir,alunir
196,Vir,roussir
197,Vir,établir
198,Vir,mégir
199,Vir,avenir
200,Vir,épanouir
201,Vir,dévernir
202,Vir,ravir
203,Vir,applaudir
204,Vir,acquérir
205,Vir,étourdir
206,Vir,réenvahir
207,Vir,contenir
208,Vir,rechampir
209,Vir,rembrunir
210,Vir,avertir
211,Vir,rendurcir
212,Vir,sortir
213,Vir,abonnir
214,Vir,replanir
215,Vir,découvrir
216,Vir,décrépir
217,Vir,prévenir
218,Vir,bonir
219,Vir,tiédir
220,Vir,meurtrir
221,Vir,vagir
222,Vir,sentir
223,Vir,rôtir
224,Vir,vouloir
225,Vir,réagir
226,Vir,réenfouir
227,Vir,cueillir
228,Vir,départir
229,Vir,ébaudir
230,Vir,réassainir
231,Vir,salir
232,Vir,compatir
233,Vir,gauchir
234,Vir,prémunir
235,Vir,divertir
236,Vir,obéir
237,Vir,abalourdir
238,Vir,dégourdir
239,Vir,discourir
240,Vir,aboutir
241,Vir,contrevenir
242,Vir,désunir
243,Vir,transir
244,Vir,emplir
245,Vir,déchoir
246,Vir,débouillir
247,Vir,pourvoir
248,Vir,appartenir
249,Vir,arrondir
250,Vir,convenir
251,Vir,effleurir
252,Vir,noircir
253,Vir,amincir
254,Vir,ressentir
255,Vir,parcourir
256,Vir,resarcir
257,Vir,affranchir
258,Vir,blêmir
259,Vir,soutenir
260,Vir,réfléchir
261,Vir,fleurir
262,Vir,approfondir
263,Vir,défaillir
264,Vir,atterrir
265,Vir,polir
266,Vir,vernir
267,Vir,défléchir
268,Vir,amoindrir
269,Vir,désassortir
270,Vir,renforcir
271,Vir,brandir
272,Vir,percevoir
273,Vir,requérir
274,Vir,hennir
275,Vir,fourbir
276,Vir,entr'ouvrir
